state,full_state,ufo_counts,2010_pop,per_10000,unemployment_rate_2010,binge_drinking,opiod_prescrip/100per
AL,Alabama,482,4780127.0,1.008341410175922,10.5,12.2,134.3
AK,Alaska,229,672591.0,3.4047437447126114,7.9,20.0,68.4
AZ,Arizona,1988,6392307.0,3.1099883031274937,10.4,15.0,88.5
AR,Arkansas,489,2700691.0,1.8106477194169939,8.2,15.2,120.8
CA,California,7325,37252895.0,1.9662901366457561,12.2,16.7,55.8
CO,Colorado,1184,5029324.0,2.3541931281420725,8.7,18.1,72.0
CT,Connecticut,716,3574118.0,2.0032914414129586,9.1,18.3,68.6
DE,Delaware,137,1052931.0,1.301129893601765,8.4,15.8,101.1
DC,District of Columbia,7,710249.0,0.09855698494471657,9.4,24.4,37.1
FL,Florida,3139,18804623.0,1.6692703703764762,11.1,17.2,87.6
GA,Georgia,1026,9688681.0,1.0589676757857958,10.5,15.8,90.2
HI,Hawaii,209,1567652.0,1.3332040529403208,6.9,19.8,50.1
ID,Idaho,425,1853011.0,2.2935643663205454,9.0,14.8,88.6
IL,Illinois,2128,12831549.0,1.658412402119183,10.4,20.8,63.1
IN,Indiana,1078,6484229.0,1.6624952635078125,10.4,16.6,107.1
IA,Iowa,568,2763888.0,2.055076037813399,6.0,21.3,62.3
KS,Kansas,509,2968103.0,1.7149000556921374,7.1,16.5,86.1
KY,Kentucky,685,4339349.0,1.578577800494959,10.2,16.1,136.5
LA,Louisiana,430,4533479.0,0.9484989342621859,8.0,18.0,112.6
ME,Maine,441,1316466.0,3.3498776269193433,8.1,20.2,92.8
MD,Maryland,678,5773785.0,1.1742730288710093,7.7,14.7,71.2
MA,Massachusetts,1021,6547817.0,1.5592983127048297,8.3,18.7,67.9
MI,Michigan,1458,9884129.0,1.4750920389646875,12.6,19.8,96.0
MN,Minnesota,843,5303925.0,1.5893889902289342,7.4,20.5,59.0
MS,Mississippi,283,2915958.0,0.9705215232866866,10.4,12.5,118.1
MO,Missouri,1180,5988927.0,1.9703028605958965,9.6,17.7,91.0
MT,Montana,382,1328361.0,2.875724294826482,7.3,21.3,87.2
NE,Nebraska,318,2059192.0,1.5442950438812892,4.6,20.4,69.0
NV,Nevada,637,3046869.0,2.090670783679902,13.5,14.5,97.3
NH,New Hampshire,395,1360301.0,2.903769092281782,5.8,17.8,81.6
NJ,New Jersey,998,8791936.0,1.1351311019552464,9.5,17.0,61.0
NM,New Mexico,559,2853132.0,1.9592503957054912,8.1,13.6,81.9
NY,New York,2354,19378087.0,1.214774193138879,8.6,17.6,51.0
NC,North Carolina,1446,9535692.0,1.516408038346876,10.9,14.6,93.1
ND,North Dakota,95,814191.0,1.1668023842071455,3.8,24.9,63.0
OH,Ohio,1834,11536725.0,1.5897059174072365,10.3,19.5,102.4
OK,Oklahoma,602,3751616.0,1.6046418396765554,6.8,13.6,119.6
OR,Oregon,1428,3831073.0,3.727415269821275,10.6,17.7,101.2
PA,Pennsylvania,1925,12702887.0,1.51540354566643,8.5,18.5,81.0
RI,Rhode Island,188,989417.0,1.9001088519805098,11.2,17.0,82.7
SC,South Carolina,851,4625401.0,1.8398404808577677,11.2,16.3,98.6
SD,South Dakota,142,897936.0,1.581404465351651,5.0,17.9,54.0
TN,Tennessee,922,6346275.0,1.4528207491796368,9.7,10.9,140.0
TX,Texas,2804,25146105.0,1.115083230583822,8.1,16.1,73.0
UT,Utah,496,2776000.0,1.7867435158501441,7.8,11.4,86.6
VT,Vermont,229,601767.0,3.8054595881794784,6.1,19.0,54.1
VA,Virginia,1029,8001045.0,1.2860820055380264,7.1,17.0,75.5
WA,Washington,3201,6724543.0,4.760174780650521,10.0,16.6,85.0
WV,West Virginia,357,1826341.0,1.9547280600939256,8.7,11.8,143.1
WI,Wisconsin,1019,5687289.0,1.7917148222993415,8.7,24.4,74.4
WY,Wyoming,143,625745.0,2.285275951066329,6.4,16.9,80.4
